title,avg_reviews,complete_link,publisher,price,pages
Modern Time Series Forecasting with Python: Explore industry-ready time series forecasting using modern machine learning and deep learning,5.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A05576263RIE78WQ9ISQM&qualifier=1671164918&id=8372628233594429&widgetName=sp_mtf&url=%2FModern-Time-Forecasting-Python-industry-ready%2Fdp%2F1803246804%2Fref%3Dsr_1_177_sspa%3Fkeywords%3Dpython%26qid%3D1671164918%26sr%3D8-177-spons%26psc%3D1,"Packt Publishing (November 24, 2022)",44.99,552
"Math for Programmers: 3D graphics, machine learning, and simulations with Python",4.5,https://www.amazon.com/Math-Programmers-Paul-Orland/dp/1617295353/ref=sr_1_243?keywords=python&qid=1671164927&sr=8-243,"Manning; 1st edition (January 12, 2021)",40.84,688
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",4.8,https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1492032646/ref=sr_1_234?keywords=python&qid=1671164927&sr=8-234,"O'Reilly Media; 2nd edition (October 15, 2019)",57.49,856
Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning,4.5,https://www.amazon.com/Machine-Learning-Python-Cookbook-Preprocessing/dp/1491989386/ref=sr_1_293?keywords=python&qid=1671164936&sr=8-293,"O'Reilly Media; 1st edition (April 17, 2018)",49.18,366
"Becoming a Data Head: How to Think, Speak and Understand Data Science, Statistics and Machine Learning",4.6,https://www.amazon.com/Becoming-Data-Head-Understand-Statistics/dp/1119741742/ref=sr_1_287?keywords=python&qid=1671164936&sr=8-287,"Wiley; 1st edition (April 23, 2021)",24.49,272
Machine Learning with Python for Everyone (Addison-Wesley Data & Analytics Series),4.6,https://www.amazon.com/Machine-Learning-Everyone-Addison-Wesley-Analytics/dp/0134845625/ref=sr_1_282?keywords=python&qid=1671164936&sr=8-282,"Addison-Wesley Professional; 1st edition (August 16, 2019)",49.99,592
"PYTHON CRASH COURSE: A PRACTICAL BEGINNER'S GUIDE TO LEARN PYTHON IN 7 DAYS OR LESS, INTRODUCING YOU INTO THE WORLD OF DATA SCIENCE, ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING, WITH HANDS-ON PROJECT",3.8,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg6_1?ie=UTF8&adId=A09822272MD8I9HNC2LFQ&qualifier=1671164936&id=7384453962861372&widgetName=sp_mtf&url=%2FPYTHON-CRASH-COURSE-INTELLIGENCE-HANDS%2Fdp%2FB08JDTNQGD%2Fref%3Dsr_1_275_sspa%3Fkeywords%3Dpython%26qid%3D1671164936%26sr%3D8-275-spons%26psc%3D1,"Independently published (September 18, 2020)",14.99,145
Applied Machine Learning and AI for Engineers: Solve Business Problems That Can't Be Solved Algorithmically,5.0,https://www.amazon.com/Applied-Machine-Learning-Engineers-Algorithmically/dp/1492098051/ref=sr_1_272?keywords=python&qid=1671164936&sr=8-272,"O'Reilly Media; 1st edition (December 20, 2022)",62.99,425
PYTHON: This Book Includes: Learn How To Develop Programs And Apps In 7 Days With Python Programming And Start Deep Hands-on Learning For Beginners of Data Science And Machine Learning.,4.1,https://www.amazon.com/PYTHON-Programming-Hands-Beginners-Learning/dp/B088T26ZFS/ref=sr_1_269?keywords=python&qid=1671164936&sr=8-269,"Independently published (May 17, 2020)",24.38,381
Hands-On Gradient Boosting with XGBoost and scikit-learn: Perform accessible machine learning and extreme gradient boosting with Python,4.7,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg6_1?ie=UTF8&adId=A011578035YFLL4V418PV&qualifier=1671164936&id=7384453962861372&widgetName=sp_mtf&url=%2FHands-Gradient-Boosting-XGBoost-scikit-learn%2Fdp%2F1839218355%2Fref%3Dsr_1_258_sspa%3Fkeywords%3Dpython%26qid%3D1671164936%26sr%3D8-258-spons%26psc%3D1,"Packt Publishing (October 16, 2020)",41.99,310
